place,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Campania,-1216.0 +/- 1.0,-1217.0 +/- 1.0,-1218.0 +/- 1.0,-1219.0 +/- 1.0,-1220.0 +/- 1.0,-1221.0 +/- 1.0,-1222.0 +/- 1.0,-1223.0 +/- 1.0,-1224.0 +/- 1.0,-1225.0 +/- 1.0,-1226.0 +/- 1.0,-1227.0 +/- 1.0,-1228.0 +/- 1.0,-1229.0 +/- 1.0,-1230.0 +/- 1.0,-1231.0 +/- 1.0,-1232.0 +/- 1.0,-1233.0 +/- 1.0,-1234.0 +/- 1.0,-1235.0 +/- 1.0,-1236.0 +/- 1.0,-1236.9 +/- 1.0,-1237.9 +/- 1.0,-1238.9 +/- 1.0,-1239.9 +/- 1.0,-1240.9 +/- 1.0,-1241.9 +/- 1.0,-1242.9 +/- 1.0,-1243.9 +/- 1.0,-1244.9 +/- 1.0,-1245.9 +/- 1.0,-1246.9 +/- 1.0,-1247.9 +/- 1.0,-1248.9 +/- 1.0,-1249.9 +/- 1.0,-1250.9 +/- 1.0
EmiliaRomagna,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0,-1547.0 +/- 1.0
Piemonte,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.0 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.1 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.2 +/- 1.0,-1931.3 +/- 1.0,-1931.3 +/- 1.0,-1931.3 +/- 1.0,-1931.3 +/- 1.0,-1931.3 +/- 1.0
Lazio,-1988.0 +/- 1.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0,-1988.0 +/- 0.0
Puglia,-1485.0 +/- 1.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0,-1485.0 +/- 0.0
Toscana,-1236.0 +/- 1.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0,-1236.0 +/- 0.0
Sicilia,-1006.0 +/- 1.0,-1006.6 +/- 1.0,-1007.2 +/- 1.0,-1007.7 +/- 1.0,-1008.2 +/- 1.0,-1008.5 +/- 1.0,-1008.9 +/- 1.0,-1009.2 +/- 1.0,-1009.5 +/- 1.0,-1009.7 +/- 1.0,-1009.9 +/- 1.0,-1010.1 +/- 1.0,-1010.2 +/- 1.0,-1010.4 +/- 1.0,-1010.5 +/- 1.0,-1010.6 +/- 1.0,-1010.7 +/- 1.0,-1010.8 +/- 1.0,-1010.8 +/- 1.0,-1010.9 +/- 1.0,-1010.9 +/- 1.0,-1011.0 +/- 1.0,-1011.0 +/- 1.0,-1011.0 +/- 1.0,-1011.1 +/- 1.0,-1011.1 +/- 1.0,-1011.1 +/- 1.0,-1011.1 +/- 1.0,-1011.1 +/- 1.0,-1011.1 +/- 1.0,-1011.2 +/- 1.0,-1011.2 +/- 1.0,-1011.2 +/- 1.0,-1011.2 +/- 1.0,-1011.2 +/- 1.0,-1011.2 +/- 1.0
FriuliVeneziaGiulia,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0,-225.0 +/- 1.0
Marche,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0,-385.0 +/- 1.0
Liguria,-455.0 +/- 1.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0,-455.0 +/- 0.0
