place,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Mexico,16673.0 +/- 1.0,16765.2 +/- 14.9,16857.1 +/- 26.9,16948.7 +/- 39.3,17040.0 +/- 52.0,17130.9 +/- 65.2,17221.6 +/- 78.9,17312.0 +/- 93.0,17402.1 +/- 107.7,17491.9 +/- 122.9,17581.5 +/- 138.6,17670.8 +/- 154.9,17759.8 +/- 171.7,17848.6 +/- 189.1,17937.1 +/- 207.1,18025.4 +/- 225.7,18113.4 +/- 244.9,18201.2 +/- 264.7,18288.9 +/- 285.2,18376.2 +/- 306.3,18463.4 +/- 328.1,18550.4 +/- 350.5,18637.1 +/- 373.6,18723.7 +/- 397.4,18810.1 +/- 421.9,18896.3 +/- 447.2,18982.4 +/- 473.1,19068.2 +/- 499.8,19153.9 +/- 527.3
Indonesia,14506.0 +/- 1.0,15136.8 +/- 57.4,15819.8 +/- 119.5,16560.4 +/- 194.5,17365.1 +/- 284.6,18240.8 +/- 392.8,19195.2 +/- 522.2,20236.8 +/- 676.4,21375.2 +/- 859.6,22620.8 +/- 1076.5,23985.3 +/- 1332.6,25481.7 +/- 1633.9,27124.2 +/- 1987.6,28928.8 +/- 2401.8,30913.1 +/- 2885.5,33096.6 +/- 3449.1,35500.9 +/- 4104.7,38150.1 +/- 4865.6,41070.8 +/- 5747.1,44292.6 +/- 6766.8,47848.0 +/- 7944.3,51773.4 +/- 9302.1,56109.1 +/- 10865.6,60899.5 +/- 12663.7,66194.2 +/- 14729.1,72048.0 +/- 17098.7,78521.6 +/- 19814.5,85682.4 +/- 22923.9,93605.1 +/- 26480.4
Canada,2092.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Belgium,955.0 +/- 1.0,958.9 +/- 7.2,962.7 +/- 13.9,966.3 +/- 20.5,969.9 +/- 27.0,973.4 +/- 33.4,976.8 +/- 39.8,980.1 +/- 46.2,983.4 +/- 52.5,986.6 +/- 58.9,989.7 +/- 65.3,992.7 +/- 71.8,995.7 +/- 78.4,998.6 +/- 85.1,1001.5 +/- 91.9,1004.3 +/- 98.9,1007.0 +/- 106.0,1009.7 +/- 113.4,1012.3 +/- 120.9,1015.0 +/- 128.6,1017.5 +/- 136.5,1020.1 +/- 144.7,1022.5 +/- 153.1,1025.0 +/- 161.8,1027.4 +/- 170.7,1029.8 +/- 179.9,1032.2 +/- 189.4,1034.5 +/- 199.2,1036.8 +/- 209.2
Portugal,138.0 +/- 1.0,144.3 +/- 20.7,151.7 +/- 53.2,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Israel,66.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Japan,4589.0 +/- 1.0,4624.4 +/- 5.9,4659.2 +/- 8.4,4693.5 +/- 10.2,4727.3 +/- 11.8,4760.6 +/- 13.1,4793.4 +/- 14.3,4825.7 +/- 15.4,4857.5 +/- 16.4,4888.8 +/- 17.3,4919.7 +/- 18.2,4950.1 +/- 19.0,4980.1 +/- 19.8,5009.6 +/- 20.5,5038.6 +/- 21.2,5067.2 +/- 21.9,5095.4 +/- 22.5,5123.2 +/- 23.1,5150.5 +/- 23.7,5177.5 +/- 24.3,5204.0 +/- 24.8,5230.2 +/- 25.3,5255.9 +/- 25.8,5281.3 +/- 26.3,5306.2 +/- 26.8,5330.8 +/- 27.2,5355.1 +/- 27.7,5378.9 +/- 28.1,5402.5 +/- 28.5
Switzerland,262.0 +/- 1.0,263.3 +/- 1.2,264.6 +/- 1.6,265.9 +/- 2.0,267.2 +/- 2.3,268.4 +/- 2.5,269.6 +/- 2.8,270.8 +/- 3.0,271.9 +/- 3.1,273.0 +/- 3.3,274.2 +/- 3.5,275.2 +/- 3.6,276.3 +/- 3.8,277.4 +/- 3.9,278.4 +/- 4.0,279.4 +/- 4.2,280.4 +/- 4.3,281.3 +/- 4.4,282.3 +/- 4.5,283.2 +/- 4.6,284.1 +/- 4.7,285.0 +/- 4.8,285.9 +/- 4.9,286.7 +/- 5.0,287.6 +/- 5.1,288.4 +/- 5.1,289.2 +/- 5.2,290.0 +/- 5.3,290.8 +/- 5.4
Denmark,54.0 +/- 1.0,55.1 +/- 22.4,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Ireland,97.0 +/- 1.0,101.5 +/- 2.1,105.9 +/- 3.0,110.4 +/- 3.7,115.0 +/- 4.2,119.5 +/- 4.7,124.1 +/- 5.2,128.7 +/- 5.6,133.3 +/- 6.0,137.9 +/- 6.4,142.6 +/- 6.8,147.3 +/- 7.1,152.0 +/- 7.4,156.7 +/- 7.7,161.5 +/- 8.0,166.3 +/- 8.3,171.1 +/- 8.6,175.9 +/- 8.9,180.8 +/- 9.2,185.7 +/- 9.4,190.6 +/- 9.7,195.5 +/- 9.9,200.5 +/- 10.2,205.5 +/- 10.4,210.5 +/- 10.7,215.5 +/- 10.9,220.6 +/- 11.1,225.7 +/- 11.3,230.8 +/- 11.6
Thailand,1979.0 +/- 1.0,2028.8 +/- 22.8,2081.1 +/- 49.8,2136.0 +/- 82.9,2193.9 +/- 123.3,2255.0 +/- 172.2,2319.7 +/- 231.1,2388.3 +/- 301.4,2461.2 +/- 384.9,2538.7 +/- 483.8,2621.5 +/- 600.1,2709.9 +/- 736.5,2804.5 +/- 895.8,2906.0 +/- 1081.4,3015.0 +/- 1296.8,3132.2 +/- 1546.3,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Norway,38.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Finland,59.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Singapore,6.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Australia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
