place,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Campania,112741.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
EmiliaRomagna,57044.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Piemonte,31346.0 +/- 1.0,31507.2 +/- 13.6,31662.5 +/- 20.2,31812.2 +/- 25.8,31956.3 +/- 30.8,32095.3 +/- 35.4,32229.1 +/- 39.8,32358.1 +/- 44.0,32482.4 +/- 47.9,32602.1 +/- 51.6,32717.4 +/- 55.2,32828.6 +/- 58.6,32935.7 +/- 61.9,33038.8 +/- 65.0,33138.3 +/- 68.0,33234.0 +/- 70.9,33326.3 +/- 73.7,33415.3 +/- 76.3,33500.9 +/- 78.9,33583.5 +/- 81.3,33663.0 +/- 83.6,33739.7 +/- 85.9,33813.5 +/- 88.0,33884.6 +/- 90.1,33953.2 +/- 92.1,34019.2 +/- 94.0,34082.9 +/- 95.8,34144.2 +/- 97.6,34203.3 +/- 99.3,34260.2 +/- 100.9,34315.0 +/- 102.5,34367.9 +/- 104.0,34418.8 +/- 105.4,34467.8 +/- 106.8,34515.1 +/- 108.1,34560.6 +/- 109.4,34604.5 +/- 110.6,34646.8 +/- 111.8
Lazio,62204.0 +/- 1.0,62551.4 +/- 18.6,62887.9 +/- 26.2,63213.9 +/- 31.8,63529.8 +/- 36.4,63835.7 +/- 40.4,64132.1 +/- 43.9,64419.3 +/- 47.1,64697.5 +/- 49.9,64967.0 +/- 52.6,65228.1 +/- 55.0,65481.0 +/- 57.2,65726.0 +/- 59.3,65963.4 +/- 61.3,66193.4 +/- 63.2,66416.1 +/- 64.9,66632.0 +/- 66.5,66841.0 +/- 68.1,67043.6 +/- 69.6,67239.8 +/- 71.0,67429.9 +/- 72.3,67614.1 +/- 73.6,67792.5 +/- 74.8,67965.3 +/- 75.9,68132.8 +/- 77.0,68295.0 +/- 78.0,68452.1 +/- 79.0,68604.3 +/- 80.0,68751.8 +/- 80.9,68894.7 +/- 81.8,69033.1 +/- 82.6,69167.2 +/- 83.4,69297.1 +/- 84.2,69422.9 +/- 85.0,69544.9 +/- 85.7,69663.0 +/- 86.4,69777.4 +/- 87.0,69888.2 +/- 87.7
Puglia,59778.0 +/- 1.0,60473.1 +/- 194.7,61161.8 +/- 387.8,61844.2 +/- 581.0,62520.2 +/- 774.2,63190.0 +/- 967.6,63853.6 +/- 1161.1,64511.0 +/- 1354.6,65162.4 +/- 1548.2,65807.8 +/- 1742.0,66447.2 +/- 1935.8,67080.7 +/- 2129.7,67708.3 +/- 2323.6,68330.2 +/- 2517.6,68946.2 +/- 2711.7,69556.6 +/- 2905.9,70161.4 +/- 3100.1,70760.6 +/- 3294.4,71354.2 +/- 3488.7,71942.4 +/- 3683.1,72525.1 +/- 3877.5,73102.4 +/- 4072.0,73674.4 +/- 4266.5,74241.1 +/- 4461.0,74802.6 +/- 4655.6,75358.8 +/- 4850.1,75910.0 +/- 5044.8,76456.0 +/- 5239.4,76997.0 +/- 5434.0,77533.0 +/- 5628.7,78064.1 +/- 5823.3,78590.2 +/- 6018.0,79111.5 +/- 6212.7,79628.0 +/- 6407.3,80139.7 +/- 6602.0,80646.6 +/- 6796.6,81148.9 +/- 6991.2,81646.5 +/- 7185.8
Toscana,34659.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Sicilia,42191.0 +/- 1.0,42453.8 +/- 1685.1,42709.7 +/- 3370.1,42958.9 +/- 5055.1,43201.6 +/- 6740.0,43437.8 +/- 8424.9,43667.8 +/- 10109.7,43891.8 +/- 11794.4,44109.9 +/- 13479.1,44322.3 +/- 15163.8,44529.0 +/- 16848.4,44730.4 +/- 18533.0,44926.4 +/- 20217.5,45117.3 +/- 21902.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
FriuliVeneziaGiulia,8965.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Marche,10364.0 +/- 1.0,10447.3 +/- 16.8,10529.7 +/- 31.5,10611.1 +/- 46.6,10691.7 +/- 62.2,10771.4 +/- 78.3,10850.2 +/- 94.9,10928.3 +/- 112.1,11005.6 +/- 129.7,11082.1 +/- 147.9,11158.0 +/- 166.6,11233.1 +/- 185.8,11307.6 +/- 205.5,11381.4 +/- 225.7,11454.6 +/- 246.4,11527.2 +/- 267.6,11599.1 +/- 289.3,11670.6 +/- 311.4,11741.5 +/- 334.1,11811.8 +/- 357.2,11881.7 +/- 380.8,11951.0 +/- 404.8,12019.9 +/- 429.3,12088.3 +/- 454.3,12156.3 +/- 479.7,12223.9 +/- 505.5,12291.0 +/- 531.7,12357.8 +/- 558.4,12424.1 +/- 585.5,12490.1 +/- 613.0,12555.7 +/- 640.9,12621.0 +/- 669.2,12686.0 +/- 697.9,12750.6 +/- 727.0,12814.9 +/- 756.4,12878.9 +/- 786.2,12942.6 +/- 816.4,13006.0 +/- 846.9
Liguria,9062.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
