place,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Mexico,145840.0 +/- 1.0,149828.4 +/- 63.2,154083.2 +/- 90.8,158639.9 +/- 113.1,163538.7 +/- 133.0,168825.1 +/- 151.6,174550.9 +/- 169.4,180774.6 +/- 186.9,187562.6 +/- 204.3,194989.9 +/- 221.7,203141.8 +/- 239.4,212114.9 +/- 257.4,222018.4 +/- 276.0,232976.5 +/- 295.2,245129.5 +/- 315.1,258636.7 +/- 335.9,273678.5 +/- 357.5,290459.3 +/- 380.3,309210.7 +/- 404.2,330195.3 +/- 429.4,353710.7 +/- 455.9,380093.8 +/- 484.0,409726.8 +/- 513.7,443042.6 +/- 545.2,480531.7 +/- 578.5,522750.2 +/- 613.9,570327.9 +/- 651.5,623978.9 +/- 691.5,684512.1 +/- 733.9
Indonesia,392513.0 +/- 1.0,404934.1 +/- 675.9,418055.8 +/- 1446.3,431939.5 +/- 2335.5,446651.7 +/- 3359.8,462265.1 +/- 4537.5,478858.2 +/- 5889.2,496516.9 +/- 7437.6,515334.3 +/- 9208.3,535411.7 +/- 11229.9,556859.3 +/- 13534.0,579797.0 +/- 16156.1,604355.0 +/- 19135.4,630675.0 +/- 22516.0,658911.1 +/- 26346.4,689230.8 +/- 30680.9,721816.3 +/- 35579.7,756865.9 +/- 41109.7,794594.8 +/- 47344.9,835237.4 +/- 54367.9,879048.5 +/- 62269.9,926305.2 +/- 71152.3,977308.6 +/- 81127.2,1032386.4 +/- 92319.0,1091895.0 +/- 104865.6,1156221.6 +/- 118919.5,1225787.5 +/- 134649.5,1301051.0 +/- 152242.5,1382510.1 +/- 171905.2
Canada,266320.0 +/- 1.0,267113.3 +/- 836.2,267877.4 +/- 1670.9,268613.3 +/- 2504.6,269322.1 +/- 3337.2,270004.8 +/- 4168.9,270662.3 +/- 4999.5,271295.6 +/- 5829.1,271905.6 +/- 6657.7,272493.1 +/- 7485.3,273058.9 +/- 8311.9,273603.9 +/- 9137.5,274128.8 +/- 9962.1,274634.3 +/- 10785.6,275121.3 +/- 11608.2,275590.2 +/- 12429.8,276041.9 +/- 13250.3,276477.0 +/- 14069.9,276896.0 +/- 14888.5,277299.6 +/- 15706.0,277688.3 +/- 16522.6,278062.7 +/- 17338.2,278423.3 +/- 18152.7,278770.6 +/- 18966.3,279105.1 +/- 19778.9,279427.3 +/- 20590.5,279737.6 +/- 21401.1,280036.5 +/- 22210.8,280324.3 +/- 23019.4
Belgium,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Portugal,37359.0 +/- 1.0,38606.5 +/- 75.1,39927.8 +/- 150.4,41327.9 +/- 235.6,42812.6 +/- 332.3,44387.7 +/- 441.8,46059.7 +/- 565.8,47835.3 +/- 705.9,49721.8 +/- 864.0,51727.0 +/- 1042.3,53859.1 +/- 1242.9,56127.0 +/- 1468.3,58540.1 +/- 1721.3,61108.5 +/- 2004.7,63842.9 +/- 2321.8,66754.9 +/- 2676.1,69856.8 +/- 3071.5,73161.6 +/- 3512.1,76683.3 +/- 4002.5,80436.9 +/- 4547.7,84438.4 +/- 5153.1,88704.9 +/- 5824.7,93254.5 +/- 6568.7,98106.7 +/- 7392.3,103282.4 +/- 8303.0,108803.6 +/- 9309.1,114694.2 +/- 10419.6,120979.4 +/- 11644.3,127686.3 +/- 12993.8
Israel,3065.0 +/- 1.0,3249.0 +/- 69.8,3493.0 +/- 176.7,3817.0 +/- 341.7,4247.7 +/- 593.0,4820.8 +/- 970.9,5583.8 +/- 1533.1,6600.0 +/- 2361.5,7953.6 +/- 3572.2,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Japan,252737.0 +/- 1.0,254652.9 +/- 7330.5,256537.8 +/- 14652.9,258392.2 +/- 21967.3,260216.4 +/- 29273.9,262011.1 +/- 36572.4,263776.8 +/- 43863.1,265513.8 +/- 51145.8,267222.7 +/- 58420.6,268903.8 +/- 65687.5,270557.7 +/- 72946.4,272184.8 +/- 80197.6,273785.6 +/- 87440.8,275360.4 +/- 94676.1,276909.7 +/- 101903.6,278433.8 +/- 109123.2,279933.3 +/- 116335.0,281408.5 +/- 123538.9,282859.7 +/- 130735.0,284287.4 +/- 137923.3,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Switzerland,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Denmark,51261.0 +/- 1.0,51671.4 +/- 388.1,52075.6 +/- 775.0,52473.9 +/- 1161.3,52866.1 +/- 1547.0,53252.5 +/- 1932.1,53633.0 +/- 2316.6,54007.9 +/- 2700.6,54377.2 +/- 3083.9,54741.0 +/- 3466.6,55099.3 +/- 3848.7,55452.2 +/- 4230.2,55799.8 +/- 4611.2,56142.3 +/- 4991.5,56479.6 +/- 5371.2,56811.9 +/- 5750.4,57139.2 +/- 6128.9,57461.6 +/- 6506.9,57779.2 +/- 6884.3,58092.0 +/- 7261.0,58400.1 +/- 7637.2,58703.7 +/- 8012.8,59002.6 +/- 8387.8,59297.1 +/- 8762.2,59587.2 +/- 9136.1,59873.0 +/- 9509.3,60154.5 +/- 9882.0,60431.7 +/- 10254.1,60704.8 +/- 10625.5
Ireland,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Thailand,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Norway,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Finland,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Singapore,1514.0 +/- 1.0,1536.6 +/- 19.9,1559.3 +/- 39.2,1581.9 +/- 58.4,1604.5 +/- 77.5,1627.2 +/- 96.5,1649.9 +/- 115.4,1672.5 +/- 134.2,1695.2 +/- 152.9,1717.9 +/- 171.6,1740.6 +/- 190.1,1763.3 +/- 208.6,1786.0 +/- 226.9,1808.7 +/- 245.2,1831.5 +/- 263.4,1854.2 +/- 281.5,1876.9 +/- 299.5,1899.7 +/- 317.4,1922.4 +/- 335.2,1945.2 +/- 352.9,1968.0 +/- 370.5,1990.8 +/- 388.1,2013.6 +/- 405.5,2036.4 +/- 422.8,2059.2 +/- 440.1,2082.0 +/- 457.2,2104.8 +/- 474.3,2127.6 +/- 491.3,2150.5 +/- 508.1
Australia,543.0 +/- 1.0,551.3 +/- 5.9,559.8 +/- 11.3,568.5 +/- 17.1,577.3 +/- 23.2,586.3 +/- 29.6,595.5 +/- 36.5,604.8 +/- 43.7,614.3 +/- 51.3,624.1 +/- 59.4,634.0 +/- 68.0,644.1 +/- 76.9,654.4 +/- 86.4,664.9 +/- 96.4,675.6 +/- 106.9,686.5 +/- 118.0,697.7 +/- 129.7,709.1 +/- 141.9,720.6 +/- 154.7,732.5 +/- 168.2,744.5 +/- 182.3,756.8 +/- 197.1,769.3 +/- 212.6,782.1 +/- 228.9,795.1 +/- 245.8,808.4 +/- 263.6,822.0 +/- 282.2,835.8 +/- 301.6,849.9 +/- 321.8
