place,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Campania,949.0 +/- 1.0,954.5 +/- 3.7,959.9 +/- 6.6,965.1 +/- 9.4,970.1 +/- 12.2,975.0 +/- 15.0,979.8 +/- 17.7,984.4 +/- 20.5,988.8 +/- 23.2,993.1 +/- 25.9,997.3 +/- 28.5,1001.4 +/- 31.2,1005.4 +/- 33.8,1009.2 +/- 36.4,1012.9 +/- 39.0,1016.5 +/- 41.5,1020.0 +/- 44.0,1023.4 +/- 46.5,1026.7 +/- 49.0,1029.9 +/- 51.4,1033.0 +/- 53.8,1035.9 +/- 56.1,1038.9 +/- 58.5,1041.7 +/- 60.8,1044.4 +/- 63.1,1047.1 +/- 65.3,1049.6 +/- 67.5,1052.1 +/- 69.7,1054.5 +/- 71.9,1056.9 +/- 74.0,1059.2 +/- 76.1,1061.4 +/- 78.1,1063.5 +/- 80.2,1065.6 +/- 82.2,1067.6 +/- 84.1,1069.6 +/- 86.0,1071.5 +/- 88.0,1073.3 +/- 89.8,1075.1 +/- 91.7,1076.8 +/- 93.5,1078.5 +/- 95.2,1080.1 +/- 97.0,1081.7 +/- 98.7,1083.2 +/- 100.4,1084.7 +/- 102.1,1086.1 +/- 103.7,1087.5 +/- 105.3,1088.9 +/- 106.9
EmiliaRomagna,358.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Piemonte,423.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Lazio,595.0 +/- 1.0,604.6 +/- 19.4,615.6 +/- 49.0,628.6 +/- 94.5,644.3 +/- 163.8,663.3 +/- 268.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Puglia,717.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Toscana,635.0 +/- 1.0,640.6 +/- 3.9,645.9 +/- 6.9,651.1 +/- 10.0,656.2 +/- 13.0,661.0 +/- 15.9,665.8 +/- 18.9,670.3 +/- 21.8,674.7 +/- 24.7,679.0 +/- 27.5,683.1 +/- 30.3,687.1 +/- 33.1,690.9 +/- 35.9,694.7 +/- 38.6,698.3 +/- 41.3,701.8 +/- 44.0,705.1 +/- 46.6,708.4 +/- 49.2,711.5 +/- 51.7,714.6 +/- 54.2,717.6 +/- 56.7,720.4 +/- 59.1,723.2 +/- 61.5,725.8 +/- 63.9,728.4 +/- 66.2,730.9 +/- 68.5,733.3 +/- 70.7,735.7 +/- 72.9,737.9 +/- 75.1,740.1 +/- 77.2,742.2 +/- 79.3,744.3 +/- 81.4,746.3 +/- 83.4,748.2 +/- 85.4,750.0 +/- 87.4,751.8 +/- 89.3,753.5 +/- 91.2,755.2 +/- 93.0,756.8 +/- 94.8,758.4 +/- 96.6,759.9 +/- 98.3,761.4 +/- 100.0,762.8 +/- 101.7,764.2 +/- 103.3,765.5 +/- 104.9,766.8 +/- 106.5,768.0 +/- 108.0,769.2 +/- 109.5
Sicilia,502.0 +/- 1.0,506.5 +/- 3.6,510.8 +/- 6.4,515.0 +/- 9.3,519.2 +/- 12.2,523.2 +/- 15.0,527.1 +/- 17.9,530.9 +/- 20.7,534.6 +/- 23.6,538.2 +/- 26.4,541.7 +/- 29.2,545.2 +/- 32.0,548.5 +/- 34.8,551.7 +/- 37.6,554.9 +/- 40.4,558.0 +/- 43.1,561.0 +/- 45.9,563.9 +/- 48.6,566.8 +/- 51.3,569.5 +/- 54.0,572.2 +/- 56.6,574.8 +/- 59.3,577.4 +/- 61.9,579.9 +/- 64.5,582.3 +/- 67.1,584.7 +/- 69.6,587.0 +/- 72.1,589.2 +/- 74.6,591.4 +/- 77.1,593.5 +/- 79.6,595.6 +/- 82.0,597.6 +/- 84.4,599.6 +/- 86.8,601.5 +/- 89.1,603.3 +/- 91.5,605.2 +/- 93.8,606.9 +/- 96.0,608.6 +/- 98.3,610.3 +/- 100.5,611.9 +/- 102.7,613.5 +/- 104.8,615.1 +/- 107.0,616.6 +/- 109.1,618.0 +/- 111.2,619.5 +/- 113.2,620.9 +/- 115.2,622.2 +/- 117.2,623.5 +/- 119.2
FriuliVeneziaGiulia,94.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Marche,87.0 +/- 1.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Liguria,160.0 +/- 1.0,161.0 +/- 5.4,162.1 +/- 10.8,163.0 +/- 16.3,164.0 +/- 21.9,164.9 +/- 27.7,165.8 +/- 33.6,166.7 +/- 39.6,167.5 +/- 45.7,168.3 +/- 52.0,169.1 +/- 58.3,169.9 +/- 64.8,170.7 +/- 71.4,171.4 +/- 78.0,172.2 +/- 84.8,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
