place,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Campania,-113.0 +/- 1.0,-109.6 +/- 1.8,-106.0 +/- 2.6,-102.3 +/- 3.3,-98.4 +/- 3.8,-94.3 +/- 4.3,-89.9 +/- 4.8,-85.4 +/- 5.3,-80.5 +/- 5.7,-75.5 +/- 6.1,-70.1 +/- 6.5,-64.5 +/- 7.0,-58.6 +/- 7.4,-52.3 +/- 7.8,-45.7 +/- 8.2,-38.8 +/- 8.6,-31.5 +/- 9.0,-23.8 +/- 9.4,-15.7 +/- 9.9,-7.3 +/- 10.3,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,30.7 +/- 12.0,41.3 +/- 12.4,52.4 +/- 12.9,63.9 +/- 13.3,76.0 +/- 13.7,88.5 +/- 14.2,101.5 +/- 14.6,115.0 +/- 15.1,129.1 +/- 15.6,143.6 +/- 16.0,158.7 +/- 16.5,174.4 +/- 17.0,190.5 +/- 17.4,207.2 +/- 17.9,224.5 +/- 18.4,242.3 +/- 18.9,260.7 +/- 19.3,279.7 +/- 19.8,299.2 +/- 20.3,319.3 +/- 20.8,340.0 +/- 21.3,361.2 +/- 21.8,383.1 +/- 22.3,405.5 +/- 22.8,428.5 +/- 23.3
EmiliaRomagna,-164.0 +/- 1.0,-161.7 +/- 1.5,-159.3 +/- 2.2,-156.9 +/- 2.7,-154.6 +/- 3.1,-152.2 +/- 3.4,-149.8 +/- 3.8,-147.4 +/- 4.1,-145.0 +/- 4.4,-142.5 +/- 4.6,-140.1 +/- 4.9,-137.6 +/- 5.1,-135.1 +/- 5.4,-132.6 +/- 5.6,-130.1 +/- 5.8,-127.5 +/- 6.0,-125.0 +/- 6.2,-122.4 +/- 6.5,-119.8 +/- 6.6,-117.2 +/- 6.8,-114.6 +/- 7.0,-111.9 +/- 7.2,-109.2 +/- 7.4,-106.5 +/- 7.6,-103.8 +/- 7.8,-101.1 +/- 7.9,-98.4 +/- 8.1,-95.6 +/- 8.3,-92.8 +/- 8.4,-90.0 +/- 8.6,-87.2 +/- 8.8,-84.3 +/- 8.9,-81.4 +/- 9.1,-78.6 +/- 9.2,-75.6 +/- 9.4,-72.7 +/- 9.6,-69.8 +/- 9.7,-66.8 +/- 9.9,-63.8 +/- 10.0,-60.8 +/- 10.2,-57.7 +/- 10.3,-54.7 +/- 10.5,-51.6 +/- 10.6,-48.5 +/- 10.7,-45.4 +/- 10.9,-42.3 +/- 11.0,-39.1 +/- 11.2,-35.9 +/- 11.3
Piemonte,-165.0 +/- 1.0,-163.0 +/- 1.4,-161.0 +/- 2.0,-158.9 +/- 2.5,-156.8 +/- 2.9,-154.5 +/- 3.2,-152.2 +/- 3.6,-149.7 +/- 3.9,-147.1 +/- 4.2,-144.4 +/- 4.5,-141.4 +/- 4.9,-138.3 +/- 5.2,-135.1 +/- 5.5,-131.6 +/- 5.8,-127.9 +/- 6.1,-124.0 +/- 6.4,-119.9 +/- 6.7,-115.5 +/- 7.0,-111.0 +/- 7.4,-106.1 +/- 7.7,-101.1 +/- 8.0,-95.8 +/- 8.3,-90.3 +/- 8.6,-84.5 +/- 9.0,-78.6 +/- 9.3,-72.3 +/- 9.6,-65.9 +/- 10.0,-59.2 +/- 10.3,-52.3 +/- 10.6,-45.2 +/- 10.9,-37.9 +/- 11.3,-30.4 +/- 11.6,-22.7 +/- 11.9,-14.8 +/- 12.3,-6.8 +/- 12.6,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,27.1 +/- 13.9,36.0 +/- 14.2,44.9 +/- 14.5,54.0 +/- 14.8,63.3 +/- 15.1,72.6 +/- 15.4,82.0 +/- 15.7,91.5 +/- 16.0,101.1 +/- 16.3,110.8 +/- 16.6
Lazio,-190.0 +/- 1.0,-185.0 +/- 2.2,-179.6 +/- 3.2,-173.9 +/- 4.0,-167.9 +/- 4.7,-161.5 +/- 5.3,-154.7 +/- 5.9,-147.5 +/- 6.5,-139.9 +/- 7.1,-131.9 +/- 7.6,-123.4 +/- 8.2,-114.6 +/- 8.7,-105.2 +/- 9.2,-95.5 +/- 9.7,-85.2 +/- 10.2,-74.6 +/- 10.7,-63.5 +/- 11.2,-52.0 +/- 11.7,-40.0 +/- 12.2,-27.6 +/- 12.7,-14.9 +/- 13.2,-1.7 +/- 13.7,0.0 +/- 0.0,0.0 +/- 0.0,40.3 +/- 15.2,55.0 +/- 15.7,70.0 +/- 16.1,85.4 +/- 16.6,101.1 +/- 17.1,117.1 +/- 17.5,133.4 +/- 18.0,150.0 +/- 18.4,166.9 +/- 18.9,184.0 +/- 19.3,201.3 +/- 19.8,218.8 +/- 20.2,236.6 +/- 20.7,254.6 +/- 21.1,272.7 +/- 21.5,291.0 +/- 21.9,309.5 +/- 22.3,328.1 +/- 22.8,346.9 +/- 23.2,365.7 +/- 23.6,384.7 +/- 24.0,403.8 +/- 24.4,423.0 +/- 24.8,442.3 +/- 25.1
Puglia,-204.0 +/- 1.0,-202.6 +/- 1.2,-201.1 +/- 1.7,-199.5 +/- 2.1,-197.8 +/- 2.5,-195.9 +/- 2.8,-194.0 +/- 3.2,-191.8 +/- 3.5,-189.6 +/- 3.8,-187.1 +/- 4.1,-184.4 +/- 4.4,-181.6 +/- 4.7,-178.5 +/- 5.0,-175.2 +/- 5.4,-171.7 +/- 5.7,-167.9 +/- 6.0,-163.9 +/- 6.3,-159.6 +/- 6.7,-155.1 +/- 7.0,-150.2 +/- 7.3,-145.1 +/- 7.7,-139.6 +/- 8.0,-133.9 +/- 8.4,-127.9 +/- 8.7,-121.5 +/- 9.1,-114.8 +/- 9.4,-107.8 +/- 9.8,-100.5 +/- 10.2,-92.8 +/- 10.5,-84.8 +/- 10.9,-76.4 +/- 11.3,-67.7 +/- 11.7,-58.7 +/- 12.1,-49.3 +/- 12.4,-39.6 +/- 12.8,-29.6 +/- 13.2,-19.2 +/- 13.6,-8.4 +/- 14.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,37.9 +/- 15.6,50.3 +/- 15.9,63.1 +/- 16.3,76.1 +/- 16.7,89.5 +/- 17.1,103.2 +/- 17.5,117.2 +/- 17.9
Toscana,-190.0 +/- 1.0,-188.1 +/- 1.4,-186.3 +/- 1.9,-184.6 +/- 2.3,-183.0 +/- 2.6,-181.4 +/- 2.9,-179.9 +/- 3.2,-178.5 +/- 3.4,-177.1 +/- 3.6,-175.7 +/- 3.8,-174.4 +/- 3.9,-173.2 +/- 4.1,-171.9 +/- 4.2,-170.7 +/- 4.4,-169.6 +/- 4.5,-168.4 +/- 4.6,-167.2 +/- 4.8,-166.1 +/- 4.9,-165.0 +/- 5.0,-163.9 +/- 5.1,-162.8 +/- 5.2,-161.6 +/- 5.3,-160.5 +/- 5.4,-159.4 +/- 5.5,-158.2 +/- 5.6,-157.1 +/- 5.7,-155.9 +/- 5.8,-154.7 +/- 5.9,-153.4 +/- 6.0,-152.2 +/- 6.1,-150.9 +/- 6.3,-149.6 +/- 6.4,-148.2 +/- 6.5,-146.8 +/- 6.6,-145.4 +/- 6.7,-144.0 +/- 6.8,-142.5 +/- 6.9,-140.9 +/- 7.0,-139.3 +/- 7.1,-137.7 +/- 7.2,-136.0 +/- 7.3,-134.2 +/- 7.5,-132.5 +/- 7.6,-130.6 +/- 7.7,-128.7 +/- 7.8,-126.8 +/- 8.0,-124.8 +/- 8.1,-122.7 +/- 8.2
Sicilia,-126.0 +/- 1.0,-123.5 +/- 1.6,-121.1 +/- 2.2,-118.6 +/- 2.7,-116.1 +/- 3.1,-113.7 +/- 3.5,-111.2 +/- 3.8,-108.8 +/- 4.2,-106.3 +/- 4.4,-103.8 +/- 4.7,-101.4 +/- 5.0,-98.9 +/- 5.2,-96.4 +/- 5.4,-94.0 +/- 5.7,-91.5 +/- 5.9,-89.0 +/- 6.1,-86.6 +/- 6.3,-84.1 +/- 6.5,-81.7 +/- 6.7,-79.2 +/- 6.8,-76.7 +/- 7.0,-74.3 +/- 7.2,-71.8 +/- 7.4,-69.3 +/- 7.5,-66.9 +/- 7.7,-64.4 +/- 7.8,-61.9 +/- 8.0,-59.5 +/- 8.2,-57.0 +/- 8.3,-54.6 +/- 8.5,-52.1 +/- 8.6,-49.6 +/- 8.7,-47.2 +/- 8.9,-44.7 +/- 9.0,-42.2 +/- 9.2,-39.8 +/- 9.3,-37.3 +/- 9.4,-34.8 +/- 9.5,-32.4 +/- 9.7,-29.9 +/- 9.8,-27.5 +/- 9.9,-25.0 +/- 10.1,-22.5 +/- 10.2,-20.1 +/- 10.3,-17.6 +/- 10.4,-15.1 +/- 10.5,-12.7 +/- 10.6,-10.2 +/- 10.8
FriuliVeneziaGiulia,-26.0 +/- 1.0,-24.6 +/- 1.2,-23.2 +/- 1.7,-21.8 +/- 2.1,-20.4 +/- 2.4,-19.0 +/- 2.7,-17.6 +/- 2.9,-16.2 +/- 3.1,-14.8 +/- 3.4,-13.3 +/- 3.6,-11.9 +/- 3.7,-10.5 +/- 3.9,-9.1 +/- 4.1,-7.7 +/- 4.3,-6.3 +/- 4.4,-4.9 +/- 4.6,-3.5 +/- 4.7,-2.1 +/- 4.9,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,12.0 +/- 6.2,13.4 +/- 6.3,14.8 +/- 6.4,16.2 +/- 6.5,17.6 +/- 6.6,19.0 +/- 6.7,20.4 +/- 6.8,21.8 +/- 6.9,23.2 +/- 7.0,24.6 +/- 7.1,26.0 +/- 7.2,27.4 +/- 7.3,28.8 +/- 7.4,30.2 +/- 7.5,31.7 +/- 7.6,33.1 +/- 7.7,34.5 +/- 7.8,35.9 +/- 7.9,37.3 +/- 8.0,38.7 +/- 8.0,40.1 +/- 8.1
Marche,-58.0 +/- 1.0,-56.7 +/- 1.1,-55.4 +/- 1.6,-54.2 +/- 2.0,-52.9 +/- 2.3,-51.6 +/- 2.5,-50.3 +/- 2.8,-49.1 +/- 3.0,-47.8 +/- 3.2,-46.5 +/- 3.4,-45.2 +/- 3.6,-44.0 +/- 3.7,-42.7 +/- 3.9,-41.4 +/- 4.1,-40.1 +/- 4.2,-38.8 +/- 4.4,-37.6 +/- 4.5,-36.3 +/- 4.7,-35.0 +/- 4.8,-33.7 +/- 4.9,-32.5 +/- 5.1,-31.2 +/- 5.2,-29.9 +/- 5.3,-28.6 +/- 5.4,-27.3 +/- 5.5,-26.1 +/- 5.7,-24.8 +/- 5.8,-23.5 +/- 5.9,-22.2 +/- 6.0,-21.0 +/- 6.1,-19.7 +/- 6.2,-18.4 +/- 6.3,-17.1 +/- 6.4,-15.9 +/- 6.5,-14.6 +/- 6.6,-13.3 +/- 6.7,-12.0 +/- 6.8,-10.8 +/- 6.9,-9.5 +/- 7.0,-8.3 +/- 7.0,-7.2 +/- 7.1,-6.4 +/- 7.2,-5.8 +/- 7.2,-5.4 +/- 7.3,-5.1 +/- 7.3,-4.8 +/- 7.3,-4.3 +/- 7.3,-3.4 +/- 7.4
Liguria,-53.0 +/- 1.0,-52.3 +/- 0.8,-51.7 +/- 1.1,-51.0 +/- 1.4,-50.4 +/- 1.6,-49.8 +/- 1.8,-49.2 +/- 1.9,-48.6 +/- 2.1,-48.1 +/- 2.2,-47.5 +/- 2.3,-46.9 +/- 2.5,-46.4 +/- 2.6,-45.8 +/- 2.7,-45.3 +/- 2.8,-44.8 +/- 2.9,-44.2 +/- 3.0,-43.7 +/- 3.0,-43.2 +/- 3.1,-42.7 +/- 3.2,-42.2 +/- 3.3,-41.7 +/- 3.4,-41.2 +/- 3.4,-40.7 +/- 3.5,-40.2 +/- 3.6,-39.7 +/- 3.6,-39.2 +/- 3.7,-38.7 +/- 3.8,-38.3 +/- 3.8,-37.8 +/- 3.9,-37.3 +/- 4.0,-36.8 +/- 4.0,-36.3 +/- 4.1,-35.8 +/- 4.1,-35.4 +/- 4.2,-34.9 +/- 4.3,-34.4 +/- 4.3,-33.9 +/- 4.4,-33.4 +/- 4.4,-33.0 +/- 4.5,-32.5 +/- 4.5,-32.0 +/- 4.6,-31.5 +/- 4.6,-31.1 +/- 4.7,-30.6 +/- 4.7,-30.1 +/- 4.8,-29.6 +/- 4.8,-29.2 +/- 4.9,-28.7 +/- 4.9
