Eta',Tot ,J&J ,Asz1,Pfz1,Mod1,Asz2,Pfz2,Mod2
80,4.554,0.010,0.077,3.584,0.541,0.059,3.399,0.492
70,6.019,0.120,2.205,2.508,0.413,1.035,2.234,0.369
60,7.553,0.365,2.020,3.279,0.447,0.462,2.638,0.365
50,9.652,0.355,0.864,5.101,0.664,0.470,2.856,0.429
40,8.796,0.168,0.629,4.010,0.495,0.383,1.407,0.204
30,6.794,0.102,0.394,2.546,0.311,0.231,0.788,0.095
20,6.014,0.089,0.266,2.149,0.246,0.125,0.629,0.078
12,4.628,0.037,0.011,0.720,0.026,0.001,0.095,0.008
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
