place,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Campania,1.0,17.5,24.6,30.0,34.5,38.5,42.0,45.2,48.2,50.9,53.5,55.9,58.2,60.3,62.4,64.3,66.2,68.0,69.8,71.4,73.0,74.6,76.1,77.5,78.9,80.3,81.6,82.9,84.1,85.3,86.5,87.6,88.7,89.8,90.9,91.9,92.9,93.8,94.8,95.7,96.6,97.5,98.4,99.2,100.0,100.8,101.6,102.4,103.2,103.9,104.6,105.3,106.0,106.7,107.4,108.0,108.7,109.3,109.9,110.5,111.1,111.7,112.2,112.8,113.3,113.9,114.4,114.9,115.4,115.9,116.4,116.9,117.3,117.8,118.3,118.7,119.1,119.6,120.0,120.4,120.8,121.2
EmiliaRomagna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piemonte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lazio,1.0,19.8,31.3,42.0,52.3,62.4,72.3,82.2,92.0,101.8,111.4,121.1,130.7,140.2,149.7,159.2,168.6,177.9,187.3,196.6,205.8,215.0,224.2,233.3,242.3,251.4,260.4,269.3,278.2,287.1,295.9,304.7,313.4,322.1,330.8,339.4,348.0,356.5,365.0,373.4,381.8,390.2,398.5,406.7,415.0,423.1,431.3,439.4,447.4,455.4,463.4,471.3,479.2,487.0,494.8,502.5,510.2,517.8,525.5,533.0,540.5,548.0,555.4,562.8,570.2,577.4,584.7,591.9,599.1,606.2,613.3,620.3,627.3,634.2,641.1,648.0,654.8,661.6,668.3,675.0,681.6,688.2
Puglia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toscana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sicilia,1.0,29.9,56.1,82.4,108.8,135.3,162.0,188.9,215.9,243.1,270.5,298.1,325.8,353.7,381.8,410.1,438.6,467.2,496.1,525.1,554.4,583.8,613.5,643.3,673.4,703.6,734.1,764.8,795.7,826.8,858.1,889.7,921.5,953.5,985.8,1018.2,1051.0,1083.9,1117.1,1150.6,1184.2,1218.2,1252.4,1286.8,1321.5,1356.5,1391.7,1427.2,1462.9,1499.0,1535.3,1571.9,1608.7,1645.9,1683.3,1721.0,1759.0,1797.3,1835.9,1874.8,1914.0,1953.5,1993.4,2033.5,2073.9,2114.7,2155.8,2197.2,2239.0,2281.0,2323.5,2366.2,2409.3,2452.7,2496.5,2540.7,2585.2,2630.0,2675.2,2720.8,2766.8,2813.1
FriuliVeneziaGiulia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marche,1.0,7.0,9.8,12.0,13.7,15.3,16.6,17.9,19.0,20.1,21.0,22.0,22.8,23.6,24.4,25.1,25.8,26.5,27.1,27.7,28.3,28.8,29.4,29.9,30.4,30.8,31.3,31.7,32.2,32.6,33.0,33.4,33.7,34.1,34.4,34.8,35.1,35.4,35.7,36.0,36.3,36.6,36.9,37.1,37.4,37.6,37.9,38.1,38.4,38.6,38.8,39.0,39.2,39.4,39.6,39.8,40.0,40.2,40.4,40.5,40.7,40.9,41.0,41.2,41.3,41.5,41.6,41.8,41.9,42.0,42.2,42.3,42.4,42.5,42.7,42.8,42.9,43.0,43.1,43.2,43.3,43.4
Liguria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abruzzo,1.0,7276.1,14534.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scuola7,1.0,6.5,11.8,17.0,22.3,27.5,32.9,38.2,43.7,49.1,54.6,60.1,65.7,71.3,77.0,82.7,88.4,94.2,100.1,105.9,111.9,117.8,123.8,129.9,136.0,142.1,148.3,154.6,160.9,167.2,173.6,180.0,186.5,193.0,199.6,206.2,212.9,219.6,226.3,233.2,240.0,246.9,253.9,260.9,268.0,275.1,282.3,289.5,296.8,304.1,311.5,319.0,326.5,334.0,341.6,349.3,357.0,364.8,372.6,380.5,388.4,396.4,404.5,412.6,420.8,429.0,437.3,445.6,454.0,462.5,471.0,479.6,488.3,497.0,505.8,514.6,523.5,532.5,541.5,550.6,559.8,569.0
Bolzano,1.0,6.5,11.8,17.0,22.3,27.5,32.9,38.2,43.7,49.1,54.6,60.1,65.7,71.3,77.0,82.7,88.4,94.2,100.1,105.9,111.9,117.8,123.8,129.9,136.0,142.1,148.3,154.6,160.9,167.2,173.6,180.0,186.5,193.0,199.6,206.2,212.9,219.6,226.3,233.2,240.0,246.9,253.9,260.9,268.0,275.1,282.3,289.5,296.8,304.1,311.5,319.0,326.5,334.0,341.6,349.3,357.0,364.8,372.6,380.5,388.4,396.4,404.5,412.6,420.8,429.0,437.3,445.6,454.0,462.5,471.0,479.6,488.3,497.0,505.8,514.6,523.5,532.5,541.5,550.6,559.8,569.0
Calabria,1.0,43.6,84.8,126.2,167.7,209.4,251.2,293.1,335.2,377.4,419.8,462.4,505.1,547.9,591.0,634.2,677.5,721.1,764.8,808.7,852.8,897.1,941.6,986.3,1031.1,1076.2,1121.5,1167.0,1212.7,1258.6,1304.8,1351.2,1397.8,1444.6,1491.7,1539.0,1586.6,1634.4,1682.4,1730.8,1779.4,1828.2,1877.4,1926.8,1976.5,2026.4,2076.7,2127.3,2178.1,2229.3,2280.8,2332.6,2384.7,2437.2,2489.9,2543.0,2596.5,2650.3,2704.5,2759.0,2813.9,2869.1,2924.7,2980.7,3037.1,3093.9,3151.1,3208.7,3266.7,3325.1,3384.0,3443.2,3502.9,3563.1,3623.7,3684.8,3746.3,3808.3,3870.7,3933.7,3997.1,4061.1
Sardegna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umbria,1.0,4.6,6.5,7.9,9.0,10.0,10.9,11.8,12.5,13.2,13.8,14.4,15.0,15.5,16.0,16.5,17.0,17.4,17.8,18.2,18.6,19.0,19.3,19.7,20.0,20.3,20.6,20.9,21.2,21.4,21.7,21.9,22.2,22.4,22.7,22.9,23.1,23.3,23.5,23.7,23.9,24.1,24.3,24.4,24.6,24.8,24.9,25.1,25.2,25.4,25.5,25.7,25.8,25.9,26.1,26.2,26.3,26.4,26.5,26.7,26.8,26.9,27.0,27.1,27.2,27.3,27.4,27.5,27.6,27.6,27.7,27.8,27.9,28.0,28.1,28.1,28.2,28.3,28.3,28.4,28.5,28.5
Molise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valled'Aosta,1.0,3.1,4.4,5.4,6.2,6.9,7.6,8.2,8.7,9.3,9.7,10.2,10.7,11.1,11.5,11.9,12.3,12.6,13.0,13.3,13.7,14.0,14.3,14.6,14.9,15.2,15.5,15.8,16.0,16.3,16.6,16.8,17.1,17.3,17.6,17.8,18.0,18.3,18.5,18.7,18.9,19.1,19.4,19.6,19.8,20.0,20.2,20.4,20.6,20.8,21.0,21.1,21.3,21.5,21.7,21.9,22.1,22.2,22.4,22.6,22.7,22.9,23.1,23.2,23.4,23.6,23.7,23.9,24.0,24.2,24.3,24.5,24.6,24.8,24.9,25.1,25.2,25.3,25.5,25.6,25.8,25.9
