place,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Campania,-83836.0 +/- 1.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0,-83836.0 +/- 0.0
EmiliaRomagna,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0,-41867.0 +/- 1.0
Piemonte,-14951.0 +/- 1.0,-14954.9 +/- 1.0,-14958.8 +/- 1.0,-14962.8 +/- 1.0,-14966.7 +/- 1.0,-14970.6 +/- 1.0,-14974.5 +/- 1.0,-14978.4 +/- 1.0,-14982.4 +/- 1.0,-14986.3 +/- 1.0,-14990.2 +/- 1.0,-14994.1 +/- 1.0,-14998.1 +/- 1.0,-15002.0 +/- 1.0,-15005.9 +/- 1.0,-15009.8 +/- 1.0,-15013.7 +/- 1.0,-15017.7 +/- 1.0,-15021.6 +/- 1.0,-15025.5 +/- 1.0,-15029.4 +/- 1.0,-15033.3 +/- 1.0,-15037.3 +/- 1.0,-15041.2 +/- 1.0,-15045.1 +/- 1.0,-15049.0 +/- 1.0,-15052.9 +/- 1.0
Lazio,-41916.0 +/- 1.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0,-41916.0 +/- 0.0
Puglia,-44985.0 +/- 1.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0,-44985.0 +/- 0.0
Toscana,-19160.0 +/- 1.0,-19199.5 +/- 1.0,-19235.4 +/- 1.0,-19267.8 +/- 1.0,-19297.2 +/- 1.0,-19323.8 +/- 1.0,-19347.7 +/- 1.0,-19369.2 +/- 1.0,-19388.4 +/- 1.0,-19405.7 +/- 1.0,-19421.2 +/- 1.0,-19435.0 +/- 1.0,-19447.3 +/- 1.0,-19458.2 +/- 1.0,-19467.9 +/- 1.0,-19476.5 +/- 1.0,-19484.1 +/- 1.0,-19490.8 +/- 1.0,-19496.7 +/- 1.0,-19501.9 +/- 1.0,-19506.4 +/- 1.0,-19510.4 +/- 1.0,-19513.9 +/- 1.0,-19517.0 +/- 1.0,-19519.6 +/- 1.0,-19521.9 +/- 1.0,-19523.9 +/- 1.0
Sicilia,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0,-21318.0 +/- 1.0
FriuliVeneziaGiulia,-7393.0 +/- 1.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0,-7393.0 +/- 0.0
Marche,-4939.0 +/- 1.0,-4959.0 +/- 1.0,-4977.2 +/- 1.0,-4993.7 +/- 1.0,-5008.5 +/- 1.0,-5021.6 +/- 1.0,-5033.1 +/- 1.0,-5042.9 +/- 1.0,-5051.0 +/- 1.0,-5057.6 +/- 1.0,-5062.6 +/- 1.0,-5066.1 +/- 1.0,-5068.1 +/- 1.0,-5068.6 +/- 1.0,-5067.6 +/- 1.0,-5065.3 +/- 1.0,-5061.5 +/- 1.0,-5056.5 +/- 1.0,-5050.1 +/- 1.0,-5042.5 +/- 1.0,-5033.6 +/- 1.0,-5023.5 +/- 1.0,-5012.3 +/- 1.0,-5000.0 +/- 1.0,-4986.6 +/- 1.0,-4972.2 +/- 1.0,-4956.8 +/- 1.0
Liguria,-5352.0 +/- 1.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0,-5352.0 +/- 0.0
Abruzzo,-7508.0 +/- 1.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0,-7508.0 +/- 0.0
scuola7,-926.0 +/- 1.0,-930.6 +/- 1.0,-934.7 +/- 1.0,-938.5 +/- 1.0,-941.9 +/- 1.0,-944.9 +/- 1.0,-947.7 +/- 1.0,-950.1 +/- 1.0,-952.3 +/- 1.0,-954.2 +/- 1.0,-955.9 +/- 1.0,-957.5 +/- 1.0,-958.8 +/- 1.0,-960.0 +/- 1.0,-961.0 +/- 1.0,-961.9 +/- 1.0,-962.7 +/- 1.0,-963.3 +/- 1.0,-963.9 +/- 1.0,-964.4 +/- 1.0,-964.8 +/- 1.0,-965.2 +/- 1.0,-965.5 +/- 1.0,-965.8 +/- 1.0,-966.0 +/- 1.0,-966.2 +/- 1.0,-966.4 +/- 1.0
Bolzano,-926.0 +/- 1.0,-930.6 +/- 1.0,-934.7 +/- 1.0,-938.5 +/- 1.0,-941.9 +/- 1.0,-944.9 +/- 1.0,-947.7 +/- 1.0,-950.1 +/- 1.0,-952.3 +/- 1.0,-954.2 +/- 1.0,-955.9 +/- 1.0,-957.5 +/- 1.0,-958.8 +/- 1.0,-960.0 +/- 1.0,-961.0 +/- 1.0,-961.9 +/- 1.0,-962.7 +/- 1.0,-963.3 +/- 1.0,-963.9 +/- 1.0,-964.4 +/- 1.0,-964.8 +/- 1.0,-965.2 +/- 1.0,-965.5 +/- 1.0,-965.8 +/- 1.0,-966.0 +/- 1.0,-966.2 +/- 1.0,-966.4 +/- 1.0
Calabria,-12333.0 +/- 1.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0,-12333.0 +/- 0.0
Sardegna,-14779.0 +/- 1.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0,-14779.0 +/- 0.0
Umbria,-2259.0 +/- 1.0,-2259.0 +/- 1.0,-2259.0 +/- 1.0,-2259.0 +/- 1.0,-2259.0 +/- 1.0,-2259.0 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.1 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0,-2259.2 +/- 1.0
Molise,-569.0 +/- 1.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0,-569.0 +/- 0.0
Valled'Aosta,-717.0 +/- 1.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0,-717.0 +/- 0.0
